match_id,radiant_win,radiant_team,dire_team
8988826814,False,"96,58,71,6,84","47,15,104,37,81"
8988826791,True,"18,90,98,31,6","56,42,36,11,103"
8988826788,True,"101,26,7,21,12","110,36,63,6,84"
8988826771,False,"84,76,71,48,6","14,106,1,121,42"
8988826727,False,"128,48,33,64,31","22,27,100,11,108"
8988826712,True,"88,93,11,85,108","123,107,18,84,2"
8988826710,True,"31,110,64,44,78","35,137,30,27,93"
8988826704,True,"35,8,21,31,38","88,22,56,14,55"
8988826698,False,"14,26,30,8,131","85,88,7,6,25"
8988826683,False,"93,86,14,51,17","40,89,15,26,33"
8988826649,True,"21,89,57,44,76","109,35,63,74,41"
8988826573,False,"38,70,14,81,20","26,71,128,8,84"
8988826556,False,"50,64,35,49,48","5,82,138,26,14"
8988826553,False,"2,48,9,10,101","86,54,104,62,102"
8988826544,False,"105,3,102,75,74","6,41,114,30,35"
8988826478,True,"36,120,138,39,68","5,111,7,15,48"
8988826448,True,"47,26,37,96,41","107,14,91,54,123"
8988826432,False,"42,64,45,76,95","84,19,26,106,60"
8988826423,False,"9,1,27,86,25","16,54,2,20,22"
8988826415,False,"20,3,14,57,155","84,63,74,97,60"
8988826395,False,"109,47,40,129,63","4,123,95,103,10"
8988826390,True,"72,93,18,44,128","21,137,113,14,74"
8988826321,False,"23,98,84,11,62","106,31,83,45,18"
8988826312,False,"9,105,8,85,54","22,11,14,71,7"
8988826258,False,"9,28,12,31,11","2,63,33,51,44"
8988826192,True,"2,30,108,74,6","54,155,14,15,107"
8988826185,False,"74,63,40,7,95","41,9,99,30,14"
8988826181,True,"67,3,9,26,20","37,40,55,112,49"
8988826179,True,"100,84,35,6,21","1,37,106,75,71"
8988826161,False,"39,20,25,19,44","48,42,111,67,75"
8988826156,False,"111,37,15,22,6","18,53,106,90,12"
8988826142,False,"64,18,42,68,86","74,44,80,137,136"
8988826135,True,"104,20,110,88,34","15,84,11,18,102"
8988826089,True,"5,105,97,67,32","35,11,85,25,123"
8988826065,True,"85,74,8,27,99","30,54,14,114,121"
8988826062,True,"90,12,14,99,63","7,23,11,54,93"
8988826018,False,"35,98,138,87,34","119,9,67,14,84"
8988825976,True,"69,104,96,35,11","74,67,52,93,25"
8988825975,True,"27,100,53,42,75","114,7,32,94,35"
8988825940,False,"99,22,101,48,37","6,62,64,59,106"
8988825908,True,"20,75,62,21,78","18,114,22,27,11"
8988825891,True,"88,106,76,20,64","126,19,25,75,7"
8988825888,True,"14,100,123,67,86","5,11,41,108,22"
8988825761,False,"63,120,96,64,26","35,45,15,106,76"
8988825748,True,"38,105,54,106,48","2,98,96,8,114"
8988825736,True,"29,35,76,20,14","53,50,18,47,7"
8988825735,True,"106,75,123,69,109","11,17,85,27,42"
8988825734,False,"11,30,6,123,28","74,27,135,35,86"
8988825714,True,"76,12,64,7,97","5,8,11,91,81"
8988825694,True,"43,14,44,7,36","87,110,63,99,108"
8988825631,False,"25,44,111,15,31","119,64,40,29,11"
8988825629,True,"81,105,106,86,68","34,47,20,42,101"
8988825626,False,"99,86,70,39,27","9,56,26,54,85"
8988825518,False,"101,4,111,47,23","104,114,42,36,43"
8988825494,True,"22,36,14,18,84","85,90,11,28,21"
8988825385,True,"91,33,101,67,35","128,54,90,26,29"
8988825364,True,"48,91,42,131,71","69,93,119,14,11"
8988825327,False,"67,126,26,120,74","25,85,4,18,42"
8988825307,True,"41,64,3,55,31","71,105,59,14,94"
8988825294,False,"14,108,6,74,5","84,32,30,60,8"
8988825275,False,"54,101,68,16,74","25,48,45,86,49"
8988825262,False,"68,47,93,95,22","101,42,30,41,26"
8988825261,False,"135,47,9,86,75","44,87,39,100,29"
8988825241,True,"2,36,8,45,128","16,84,63,9,25"
8988825175,True,"74,67,39,20,35","26,14,73,53,138"
8988825173,True,"36,38,14,84,70","85,101,98,22,48"
8988825152,True,"101,84,16,8,85","93,112,14,21,126"
8988825119,True,"107,89,109,30,35","120,155,101,45,87"
8988825096,True,"128,64,46,137,113","25,106,12,37,135"
8988825025,True,"14,57,95,75,7","18,86,30,10,100"
8988825022,True,"95,17,14,20,22","12,48,101,138,44"
8988824998,False,"54,94,58,97,33","110,131,42,128,40"
